unit_id	verdict	evidence
ai/providers/faux	applied	Compared faux.rs (oracle's own header: "1:1 port of packages/ai/src/providers/faux.ts") against the considerably more elaborate faux.ts (token-rate-limited streaming, cache-aware usage estimation, factory response steps, per-registration isolated api/model namespaces) — oracle implements a deliberately reduced subset, consistent with the Bedrock provider's own "Partial 1:1 port" pattern; TS's extra machinery is load-bearing for many existing faux-provider.test.ts cases and is not stripped. APPLIED: fauxAssistantMessage (faux.ts) unconditionally defaulted stopReason to "stop"; oracle's faux_assistant_message (crates/ai/src/providers/faux.rs:71-93) auto-infers StopReason::ToolUse when content contains a tool-call block and no explicit stop_reason is given. Verified via `grep -n "fauxAssistantMessage(" test/faux-provider.test.ts` that all 3 existing tool-call call sites already pass an explicit `stopReason: "toolUse"`, so this change is dormant for existing tests (zero regression risk) while matching oracle for callers that omit it. Test: packages/ai/test/faux-provider.test.ts new describe block (3 cases). NOT applied (verdict=none for these sub-findings, evidence only): (a) empty-response-queue fallback — oracle falls back to a canned "[faux] hello" success message; TS's registerFauxProvider throws an explicit "No more faux responses queued" error instead. TS's louder failure is a deliberate test-authoring safety net relied upon implicitly by the wider suite; replicating oracle's silent-success fallback would make TS's own test infrastructure strictly worse for zero product benefit — not applied. (b) id generation format for faux_tool_call (oracle: `faux_<uuid>`; TS: `tool:<timestamp>:<random>`) — opaque test-fixture ids, no wire/assertion significance, skipped. FLAG for orchestrator (highest-stakes finding of this batch): oracle's ai crate Cargo.toml has `default = ["anthropic", "faux"]`, and crates/coding-agent/Cargo.toml depends on pie-ai with `features = ["all-providers"]` which also includes "faux" — meaning oracle's REAL PRODUCT BINARY always registers FauxProvider (api="faux") as a live, reachable builtin provider via register_builtins.rs's `#[cfg(feature = "faux")]` block (crates/ai/src/providers/register_builtins.rs:25-29), unconditionally, in every real deployment. Independently verified every non-ai-crate reference to the literal "faux" identifier across crates/agent and crates/coding-agent (agent_harness.rs, compaction.rs, agent_session.rs, ui/mod.rs, debug.rs, hooks.rs, tools/*.rs) sits inside `#[cfg(test)] mod tests` — 100% test-only usage, zero real-code call sites — and pie's own model catalog has no "faux" entries a real user could select. This strongly suggests the feature-flag default is a workspace testing convenience that happens to leak into the "real" build config, not a deliberate oracle design decision to expose a fake-LLM provider under a fixed, guessable api id to end users. TS's faux.ts is architecturally the opposite: exported from index.ts (so other packages' tests can use it) but never auto-registered — registerFauxProvider() must be called explicitly, and defaults to a randomized api id specifically to avoid this kind of ambient collision. NOT applied: did not add a default "faux" registration to register-builtins.ts. High blast-radius (silently exposes a deterministic fake-provider identifier in the live @pie/ai registry), zero test coverage protecting either disposition, and no RULEBOOK authorization for this specific architectural call — escalating per the meta-rule ("if two agents could answer differently, the answer belongs in this file") rather than deciding unilaterally.
ai/providers/register_builtins	none	Compared providers/register_builtins.rs's ensure()/register_enabled() against providers/register-builtins.ts's registerBuiltInApiProviders(). Mechanism difference (Rust: lazy, idempotent OnceLock, first-triggered by stream.rs's resolve() on first stream() call; TS: eager, runs as a module-load side effect via stream.ts's `import "./providers/register-builtins.ts"`) is oracle-self-documented as intentionally equivalent: stream.rs's own header states "The TS file does a side-effect import of `providers/register-builtins.js` to ensure providers are registered before the first call. In Rust, feature-gated providers register themselves on first use" — both guarantee providers are registered before any stream() call resolves; no divergence to port. Provider registration list matches feature-for-feature except the "faux" feature (see ai/providers/faux ledger entry above for full analysis and orchestrator flag — this file is the site of the `#[cfg(feature = "faux")]` registration block, but the disposition/evidence is recorded once against the faux unit to avoid duplication).
ai/providers/mod	none	oracle's providers/mod.rs (crates/ai/src/providers/mod.rs) contains zero runtime logic — it is exclusively `#[cfg(feature = "...")] pub mod <name>;` declarations, a Rust-compilation-unit necessity (module visibility/feature-gating) with no ES-module equivalent need (ES modules are individually import-addressable without a central declaration list; register-builtins.ts already dynamically imports each provider file directly, e.g. `import("./anthropic.ts")`, with no barrel indirection). Confirmed no existing reference to a `providers/index.ts` anywhere in the package (grep for "providers/index" across src/test/package.json: zero hits) and no package.json export subpath expects one. Per RULEBOOK §4 ("a TS barrel (index.ts) is created only when the base already has one, or when several files need an aggregate export; never for a single file") — since nothing needs this aggregation and none previously existed, no packages/ai/src/providers/index.ts was created. manifest's out_path is recorded but produces no file.
ai/lib	none	Symbol-by-symbol audit of lib.rs's `pub use` public-surface list against index.ts's `export *` list, restricted to the units in this batch's scope (api_registry, stream, types, faux, register_builtins, providers/mod, amazon_bedrock family). api_registry: matches (see ai/api_registry entry for the one byproduct — errorStream leaking into the public surface, a TS `export *`-convention-forced consequence, accepted as benign). stream: complete/complete_simple/stream/stream_simple + env_api_keys re-export all match index.ts's `export * from "./stream.ts"` + `export * from "./env-api-keys.ts"`. types: `pub use types::*` matches `export * from "./types.ts"` (both wildcard-export everything). faux: oracle does NOT re-export providers::faux at the crate root at all (crate-internal only, reachable downstream only via the fully-qualified `pie_ai::providers::faux::*` path since `providers` is `pub mod`, not flattened) vs TS's index.ts explicitly `export * from "./providers/faux.ts"` (top-level, ergonomic, monorepo-wide test-utility surface) — a packaging/ergonomics difference, not a functional regression (the capability is reachable either way); consistent with faux.ts being designed as a genuinely shared cross-package test utility in the pi monorepo (unlike oracle where sibling crates hand-roll their own `AssistantMessage{api:"faux",...}` literals instead of importing helper functions) — no action. register_builtins/providers::mod: neither side re-exports these at the crate root/index.ts either way — match. Out-of-batch-scope observations noted for awareness only (files not assigned to this batch, no action taken): oracle re-exports images_api_registry/image_models/session_resources/oauth selectively via named `pub use` lists while TS wildcard-exports whole files via `export *` — same "granular pub use vs per-file export *" pattern as the utils/* split (diagnostics/event_stream/json_parse/overflow/validation ARE wildcard-exported from index.ts, matching oracle's selective pub use of exactly those utils submodules; abort/hash/headers/node_http_proxy/retry/sanitize_unicode/typebox_helpers/aws_eventstream/sse are NOT, also matching oracle). Oracle's list_apis() (lib.rs `pub use models::{..., list_apis, ...}`) has no TS counterpart in models.ts at all — flagged under ai/tests/models_catalog's port notes (models.ts is out of this batch's scope).
ai/tests/anthropic_sse_e2e	applied	Ported 3 of 6 oracle tests (text_stream_produces_ordered_events, tool_use_sets_tooluse_stop_reason, http_error_becomes_error_event) to packages/ai/test/ported/anthropic-sse-e2e.test.ts, dispatched end-to-end through stream() (this batch's ai/stream unit) via the real registered anthropic-messages provider, using the AnthropicOptions.client fake-SDK-client injection point already established by test/anthropic-sse-parsing.test.ts (avoids a raw TCP listener since base's Anthropic provider uses the official @anthropic-ai/sdk client, not a hand-rolled reqwest+SSE stack — a socket-level port would only test third-party SDK internals). NOT ported: retries_on_503_then_succeeds, abort_cancels_retry_sleep_before_second_request, abort_cancels_pending_sse_drain — these exercise oracle's hand-rolled retry/reqwest-cancellation stack; retry.ts is explicitly out of this batch's scope (RULEBOOK: retry.ts pilot behavior must not be touched) and equivalent guarantees are already locked in by test/retry.test.ts's abort-during-backoff case and test/abort.test.ts's per-provider abort coverage. FLAG for orchestrator (discovered via this port, not this batch's file to fix): http_error_becomes_error_event revealed a genuine base-pi bug relative to oracle — base's iterateAnthropicEvents (src/providers/anthropic.ts:399-401) does `throw new Error(sse.data)` for an SSE `event: error` frame, using the raw unparsed SSE data string as the error message, where oracle (anthropic.rs:358-371) parses the JSON and extracts `/error/message` (falling back to "anthropic error"). anthropic.ts is batch-A territory (explicitly out of scope for this batch); the ported test for this specific case is `it.skip`'d with the oracle-correct assertion preserved and a TODO(port) comment, rather than asserting the current wrong value as if it were correct.
ai/tests/models_catalog	applied	Ported all 4 oracle tests (catalog_is_populated, known_anthropic_model_resolves, apis_include_anthropic_messages, unknown_model_returns_none) to packages/ai/test/ported/models-catalog.test.ts using only pre-existing models.ts exports (getModel/getModels/getProviders; models.ts itself is out of this batch's scope, read-only). API-shape adaptations documented in-file: oracle's list_models() (no-arg, full catalog) ported via getProviders().flatMap(getModels); oracle's get_model(&Provider,&str)->Option<Model> (arbitrary runtime string, graceful None) required an `as never` escape hatch since base's getModel<TProvider,TModelId> is compile-time-checked against literal known model ids (a deliberate, stricter pi design — not weakened); oracle's list_apis() (catalog-wide api set) has no TS counterpart at all, computed inline from the catalog rather than added to models.ts (see ai/lib entry).
ai/providers/simple_options	none	oracle simple_options.rs is a TODO-stub self-declared "1:1 port of packages/ai/src/providers/simple-options.ts"; its only real fn, translate_base, is a straight field-for-field clone of options.base, matching base's buildBaseOptions 1:1. Real reasoning/thinking-budget logic isn't factored out in oracle (duplicated per-provider instead: anthropic.rs budget_for/default_budget_for, google.rs translate_simple, mistral.rs reasoning_effort) — cross-checked those sites within their own units. base's clampReasoning/adjustMaxTokensForThinking are consumed only by anthropic.ts (verified against anthropic.rs:153-170 default_budget_for during the ai/providers/anthropic unit — oracle's own table is {minimal:1024,low:4096,medium:8192,high:16384,xhigh:32768}, diverging from this shared generic {minimal:1024,low:2048,medium:8192,high:16384}; fixed locally in anthropic.ts per-call-site, this shared file left untouched since amazon-bedrock.ts also depends on it and is out of scope) and amazon-bedrock.ts (a different batch's unit, not touched).
ai/providers/github_copilot_headers	none	oracle file self-declares "TODO: 1:1 port of packages/ai/src/providers/github-copilot-headers.ts"; its own copilot_headers() fn (static {"copilot-integration-id":"vscode-chat","editor-version":"pie-ai-rs/0.75"}) is confirmed dead code — zero call sites anywhere in the oracle repo (grepped crates/ai/src and crates/coding-agent/src). migration/reviews/manifest/sample-review-2026-08-03.md's dual-reviewer audit already examined this exact unit and ruled "not-confirmed" (ancestor self-declaration holds, no reclassification), noting B's finding as an annotation only. Since base's inferCopilotInitiator/hasCopilotVisionInput/buildCopilotDynamicHeaders (dynamic, content-aware headers) is called from openai-responses.ts (pilot-frozen, cannot touch its behavior even transitively) and openai-completions.ts/anthropic.ts (both verified this session to have no divergence at this specific call), left unchanged — matches the RULEBOOK §1 "oracle self-declares, TS absorbs" pattern.
ai/providers/openai_prompt_cache	none	oracle file is a TODO-stub self-declared "1:1 port of packages/ai/src/providers/openai-prompt-cache.ts"; pub fn placeholder(){} only. Real behavior lives duplicated inline at each Responses-family call site: grepped the whole ai crate for any 64-char truncation logic (take(64), chars().take, MAX_LENGTH) — zero hits. Confirmed oracle NEVER clamps prompt_cache_key anywhere (openai_responses.rs:591, openai_codex_responses.rs:203 both assign the raw session id verbatim). base's clampOpenAIPromptCacheKey (64-char truncation) is a pi-only safety net; its function body is left unchanged here because openai-responses.ts (pilot-frozen) calls it with no override and changing the shared default would alter that frozen file's wire behavior transitively. The actual bug-for-bug fix (bypass the clamp, pass raw sessionId) was applied at the two call sites I own instead — see ai/providers/openai_codex_responses and ai/providers/azure_openai_responses entries.
ai/providers/cloudflare	applied	oracle self-declares "1:1 port of packages/ai/src/providers/cloudflare.ts"; isCloudflareProvider/CLOUDFLARE_*_BASE_URL consts/error-message format all match base exactly. One confirmed divergence: resolve_cloudflare_base_url (cloudflare.rs:29-60) walks `{...}` placeholders char-by-char with NO charset restriction on the captured name (any bytes up to the next `}`, or to end-of-string if unterminated), while base's resolveCloudflareBaseUrl used a `[A-Z_][A-Z0-9_]*`-restricted regex that would silently leave non-matching `{...}` text unsubstituted (no throw) instead of attempting the env lookup and erroring. Fixed by replacing the regex with a manual char-walk matching oracle exactly. Ported oracle's 2 #[test]s (passthrough_when_no_placeholder, errors_on_missing_env) plus 4 new locking tests for the charset-widening fix. Test: packages/ai/test/cloudflare-base-url-placeholder.test.ts (6 cases, all green).
ai/providers/transform_messages	none	Exhaustive line-by-line comparison of transform_messages.rs (self-declared "1:1 port") against transform-messages.ts: replace_images_with_placeholder (consecutive-image collapsing), downgrade_unsupported_images (Blocks-only user-content gating), the two-pass transform_messages structure (thinking/text/toolCall block transforms with identical same-model gating logic, then orphaned-tool-call synthesis with identical flush points at assistant/user boundaries) all match decision-for-decision, including subtle details (oracle's `ContentBlock::text()` cross-model text rebuild drops textSignature, matching TS's `{type:"text",text}` literal). Zero divergence found anywhere in this file. Ported the 2 oracle #[test]s not already covered by test/transform-messages-copilot-openai-to-anthropic.test.ts (errored/aborted-assistant-skip, image-downgrade-with-placeholder) plus a consecutive-image-collapsing lock. Test: packages/ai/test/transform-messages-oracle-parity.test.ts (4 cases, all green).
ai/providers/openai_responses_shared	applied	oracle file is a TODO-stub ("1:1 port of openai-responses-shared.ts"); real behavior lives duplicated across openai_responses.rs (convert_messages/serialize_tools/consume_responses_sse, reused directly by openai_codex_responses.rs via `use` and by azure_openai_responses.rs via the shared build_request_body). Pilot round-2 already fixed convertResponsesMessages from the openai_responses.rs viewpoint (A1-F1/F3). This unit's residual cross-check (viewing the SAME shared functions from openai_codex_responses.rs's and azure_openai_responses.rs's call patterns) found: serialize_tools (openai_responses.rs:648-660) never emits a "strict" key for ANY of the 3 Responses-family providers, but convertResponsesTools always included one (strict:false default, or codex's old `{strict:null}`). Since openai-responses.ts (pilot-frozen) relies on the strict:false default with no override, couldn't change the default without touching frozen behavior — added an additive `omitStrict` option (default false, preserves existing behavior for all current callers) that azure/codex now opt into. Also confirmed (not applied, no oracle counterpart to compare — TODO gap, ancestor-incomplete pattern): oracle's tool-result handling in convert_messages only ever joins Text blocks with "\n" for tool results, never handling images (base's richer multimodal function_call_output handling is a capability oracle hasn't reached, left untouched). Tests: locked via the codex/azure oracle-parity test files (see those units).
ai/providers/openai_codex_responses	applied	oracle self-declares "Partial 1:1 port (~1370 LOC)" with explicit TODO list (WebSocket cache-affinity transport, JWT-based chatgpt-account-id decode, text verbosity/service_tier knobs) — those base capabilities are all kept (ancestor-incomplete pattern). Confirmed divergences applied: (1) prompt_cache_key sent raw/unclamped (codex build_request_body:202-204, no truncation exists anywhere in oracle) — base's clampOpenAIPromptCacheKey call replaced with raw sessionId at this call site only. (2) serialize_tools never emits "strict" (see openai_responses_shared entry) — codex now passes {omitStrict:true} instead of {strict:null}. (3) Retry: oracle's run() (line 157) calls crate::utils::retry::send_with_retry exclusively — base had a hand-rolled retry loop with THREE pi-only extensions with no oracle counterpart (nonstandard `retry-after-ms` header, HTTP-date Retry-After parsing, "usage limit" text-based retry suppression) and a different backoff formula (1000ms base, no jitter, max 3 retries) vs oracle's shared retry.ts (500ms base + jitter, max 2 retries, seconds-only Retry-After). Replaced the entire hand-rolled loop with sendWithRetry, removing MAX_RETRIES/BASE_DELAY_MS/isRetryableError/sleep. Reasoning-effort Xhigh handling (codex hardcodes Xhigh->"high" in stream_simple; base uses the model-catalog-driven clampThinkingLevel) left as-is — no catalog visibility in this unit's scope to confirm/refute equivalence, consistent with the general "richer model-driven mechanism" pattern elsewhere. Tests: packages/ai/test/openai-codex-stream.test.ts updated (prompt_cache_key clamp test now asserts unclamped passthrough; 3 retry tests rewritten for jittered-range assertions and the max_retries=2 default) — all pre-existing + oracle-derived assertions green.
ai/providers/azure_openai_responses	applied	oracle self-declares "Partial 1:1 port (~300 LOC)"; reuses openai_responses.rs's resolve_compat/build_request_body/consume_responses_sse VERBATIM (same functions, not a copy) — meaning azure gets the exact same compat resolution + cache-retention gating + unclamped prompt_cache_key + replay_reasoning_content behavior as plain openai_responses.rs, none of which azure-openai-responses.ts implemented at all. Applied: (1) added local getCompat/resolveCacheRetention/getPromptCacheRetention helpers (duplicated from the pattern already in openai-responses.ts since that file is frozen and these aren't exported from the shared module) — buildParams now gates prompt_cache_key on cacheRetention!=="none" and adds prompt_cache_retention:"24h" for long+compat.supportsLongCacheRetention (previously always set unconditionally, and prompt_cache_retention was never set at all). (2) prompt_cache_key now raw/unclamped (same B-series finding as codex). (3) replayReasoningContent wired into convertResponsesMessages (previously never passed, so the requiresReasoningContentOnAssistantMessages compat flag was silently ignored for azure). (4) serialize_tools "strict" key — azure now passes {omitStrict:true}. (5) Retry: azure's run() (line 163) ALSO calls send_with_retry (same util as openai_responses.rs), but azure-openai-responses.ts relied entirely on the AzureOpenAI SDK's own built-in maxRetries option — replaced with the same sendWithRetry-wrapped fetch + maxRetries:0 pattern already used in openai-responses.ts. getCompat needed an unknown-cast since Model<"azure-openai-responses">.compat is typed `never` in types.ts (only openai-completions/openai-responses/anthropic-messages get a typed compat field) — oracle's untyped Option<Value> Model.compat has no such restriction; cast preserves forward-compatibility without touching the shared type. Tests: packages/ai/test/azure-openai-base-url.test.ts's clamp test rewritten to assert unclamped passthrough; all pre-existing tests green.
