phase	date	units	notes
15	2026-08-04	7-units	web UI and workers; upstream's ui/ at 6886 lines ported to TypeScript, with mod's 3409 lines split across five files; a QR encoder written from scratch because the qrcode crate is not on the allowlist, verified by a round trip through an independent decoder; the web UI curl smoke test passed and demonstrated the copy-assets gap; two orchestrator errors corrected (the position of the --tui branch, and the initial SSE snapshot assertion); ED20 and ED21 added, along with the §2.1 rule on case in discriminators
16	2026-08-04	0-units	smoke testing, with no manifest unit; migration/smoke/{run-smoke.sh,findings.md} added; main.ts switched to ui/App, with all four modes demonstrated through a pty; the smoke run caught three real defects — F1, refusing to start without a credential through three layers stacked; F2, --base-url parsed but never applied, so the prompt went to the real OpenAI; F3, an uncancellable sleep pinning the process; parity S1 and S2 reached DIFF 0 on both sides for the first time
17	2026-08-04	0-units	behavioral reconciliation burndown, with no manifest unit; parity converged from 10 divergences to DIFF 0 across all 8 scenarios; test-oracle.sh added to obtain an upstream re-run baseline (34 binaries, 1398 passed, 0 failed), which makes the inherited bucket structurally zero; the heaviest finding: the system prompt and all 25 tool schemas were the skeleton's, while coding-agent/main was marked done; the CLI's default thinking level also fixed (the skeleton's medium against upstream's off, which spent reasoning tokens on every default call); the dual count in final-report.md achieved
18	2026-08-04	6-fixes	The BUG(port) ledger burned down 6 groups and 10 items (B1, B2, B3, B3a, B4, B5, B6, B8, B9, B13), each declared in intentional-divergences.md as D1 through D6; the heaviest was the B5/B13 trust gate, where cloning a hostile repository and editing a file runs any command inside it, extended to a third file of the same family, models.json; B3 made the product show real amounts for the first time, and B4 made the budget cap actually stop requests inside the loop; all three changes to the judge raised its sensitivity (multi-line JSON expansion, LCS, and really capturing S8's exit code — the last of which exposed an assertion that had been constantly 0); all three "flaky" cases turned out not to be flaky when investigated, and one of them was a product defect (the OAuth callback server's close was never awaited)
19	2026-08-04	0-units	Polish and hardening: documentation (README rewritten, first CHANGELOG, six pages under docs/ of which three were ported from upstream with 11 stale statements corrected); the security sweep caught two real defects — undici bypassing TLS certificate validation on a credential path, since upgraded to 8.9.0, and the pi-ai CLI writing an OAuth token into the cwd, moved to the user directory at 0600; **measuring** the state surface of both binaries produced 15 findings, of which 6 were fixed (--version on the wrong stream, the session and help subcommands turning into chat prompts sent outbound, --builtin-skill silently ignored, the default model drifting to Opus, the trust gate catching the user's own ~/.pie, and a malformed models.json losing the reason for the error); a third blind spot was closed in the judge (S1 merged two streams, so "wrong stream" was structurally invisible); ED14 upgrade compatibility; a performance baseline (TypeScript starts in 860ms against upstream's 7.5ms, 96% of which is the module graph); build, check, test and parity all green in a clean npm ci environment, 4125 tests
phase20-2	2026-08-05	Seven confirmed behavioral differences fixed: five aligned with upstream (mkdirSync purity, three sites in the authorize URL, three sites on the streamFn seam, four renames across FileErrorCode and ExecutionErrorCode, and the push_aborted payload across nine providers) plus two declared (D11 NO_PROXY, D12 the extra error code, D13 the abort entry entering the transcript); four new test files and four negative controls actually run; the surface-coverage baseline went from 43 to 40
phase20-3	2026-08-05	Ported the inline tests of upstream crates/ai: 82 in total, minus 36 already attributed, an upper bound of 46; adjudicated as 14 not portable (adopted from an SDK, or dissolved by the language), 10 already covered, 1 duplicate found at runtime, and 22 real gaps; all 22 ported and landed, with zero initial reds from implementation defects (all five initial reds were harness selection errors); three negative controls measured to go red
phase20-4	2026-08-05	Ported the inline tests of upstream crates/agent: 60 in total, minus 8 already attributed, an upper bound of 52; 45 already covered and 7 real gaps ported; the one implementation gap closed — trimming the summary prompt to budget before sending; three negative controls measured to go red
phase20-5	2026-08-05	Ported the core inline tests of upstream crates/coding-agent: the deduplication method was corrected (grepping for underscores produced severe false negatives, because the tests here are prose translations; after normalising, 201 became 162); the phase 6 side's 51 agrees with the ROADMAP, and the core side is 116; all six named files have coverage; four security-related cases ported this round (help does not leak, audit rows do not leak the payload, archive path traversal, and the scope of ds4 credentials) plus three negative controls; two mutation controls measured to go red
phase20-6	2026-08-05	Ported the inline tests of upstream UI, tools and session: 46 after normalising (ui 28, tools 11, session 7); ui-app.test.ts annotates each case with its mod.rs line number, 27 of 28 already covered; found and fixed the implementation gap where grep cut the match itself out of a long line (a window around the match, implemented per preview_match_line); also fixed the intermittent EADDRINUSE on fixed port 53692 introduced in phase 3, and two type errors
phase20-7	Four gaps in the CLI parser: --long=value went entirely unparsed (clap-style expansion added); a repeated option was silently accepted (now an error the way clap raises it, after measuring that --image and --builtin-skill really do repeat); an unknown flag after a session command was swallowed (an ordering problem, now checked before the short circuit, with a context-specific Usage line); the positional-argument question declared a superset of the skeleton. All 12 byte-for-byte comparisons agree, and S1 --help is unchanged
phase20-8	The 10 MEDIUM items in G-a handled one by one: 4 aligned (MCP response validation, reading both the templates and prompts directories, extracting the SSE error message, and re-checking the Vertex retry) plus 1 partly fixed (4 of 6 startup lines landed) and 5 kept with a stated reason each; the G-a table in the backlog updated row by row; 11 tests added, of which 3 are negative controls
phase20-9	Closed the remaining unverified boundaries: the harm of models.json demonstrated (a real HTTP server observed the outbound request, with a built-in negative control); hooks wired and demonstrated end to end (a sentinel written to disk); three incompatibilities on the degraded path quantified and accepted; the browser-smoke entry set went from 1 to 3 and the gate's negative control passed; all seven rows of MIGRATION-REPORT §5 changed to closed or still open, each with a reason
phase20-10	A third count entered the gates (the port rate of upstream inline tests went from 46% to 59.5%, baseline 219, with both gates' negative controls measured); build, check and test all green in a clean npm ci environment, 4273 passed; the judge self-check 3/3; 25 test:live cases unfrozen, with 1 failure classified as environmental; the cleanliness check found no leak; the three counts in MIGRATION-REPORT and §5b updated
