unit_id	src_path	base_path	out_path	classification	phase	status	rationale
ai/image_models_generated	crates/ai/src/image_models_generated.rs	packages/ai/src/image-models.generated.ts	packages/ai/src/image-models.generated.ts	diff-port	7	done	curated semantic map to pi counterpart
ai/images	crates/ai/src/images.rs	packages/ai/src/images.ts	packages/ai/src/images.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/images_api_registry	crates/ai/src/images_api_registry.rs	packages/ai/src/images-api-registry.ts	packages/ai/src/images-api-registry.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/lib	crates/ai/src/lib.rs	packages/ai/src/index.ts	packages/ai/src/index.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/models	crates/ai/src/models.rs	packages/ai/src/models.ts	packages/ai/src/models.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/models_generated	crates/ai/src/models_generated.rs	packages/ai/src/models.generated.ts	packages/ai/src/models.generated.ts	diff-port	7	done	curated semantic map to pi counterpart
ai/oauth	crates/ai/src/oauth.rs	packages/ai/src/oauth.ts	packages/ai/src/oauth.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/providers/amazon_bedrock	crates/ai/src/providers/amazon_bedrock.rs	packages/ai/src/providers/amazon-bedrock.ts	packages/ai/src/providers/amazon-bedrock.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase) | consolidated:packages/ai/src/providers/amazon-bedrock.ts — two upstream units deliberately land in the same TypeScript file, so completion must not be counted twice for it (audit 2026-08-05  noted in the audit).
ai/providers/anthropic	crates/ai/src/providers/anthropic.rs	packages/ai/src/providers/anthropic.ts	packages/ai/src/providers/anthropic.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/providers/azure_openai_responses	crates/ai/src/providers/azure_openai_responses.rs	packages/ai/src/providers/azure-openai-responses.ts	packages/ai/src/providers/azure-openai-responses.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/providers/cloudflare	crates/ai/src/providers/cloudflare.rs	packages/ai/src/providers/cloudflare.ts	packages/ai/src/providers/cloudflare.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/providers/faux	crates/ai/src/providers/faux.rs	packages/ai/src/providers/faux.ts	packages/ai/src/providers/faux.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/providers/github_copilot_headers	crates/ai/src/providers/github_copilot_headers.rs	packages/ai/src/providers/github-copilot-headers.ts	packages/ai/src/providers/github-copilot-headers.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/providers/google	crates/ai/src/providers/google.rs	packages/ai/src/providers/google.ts	packages/ai/src/providers/google.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/providers/google_shared	crates/ai/src/providers/google_shared.rs	packages/ai/src/providers/google-shared.ts	packages/ai/src/providers/google-shared.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/providers/google_vertex	crates/ai/src/providers/google_vertex.rs	packages/ai/src/providers/google-vertex.ts	packages/ai/src/providers/google-vertex.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase) | consolidated:packages/ai/src/providers/google-vertex.ts — two upstream units deliberately land in the same TypeScript file, so completion must not be counted twice for it (audit 2026-08-05  noted in the audit).
ai/providers/images/mod	crates/ai/src/providers/images/mod.rs	-	dissolved:barrel-src/index.ts	port	7	done	no pi counterpart found (name+curated search) | audit-fix-1: a Rust mod.rs is a module declaration file with no TypeScript counterpart; the re-export lands in  packages/<pkg>/src/index.ts. Completion here does not mean producing a file, so out_path is recorded as dissolved:.
ai/providers/images/openrouter	crates/ai/src/providers/images/openrouter.rs	packages/ai/src/providers/images/openrouter.ts	packages/ai/src/providers/images/openrouter.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/providers/images/register_builtins	crates/ai/src/providers/images/register_builtins.rs	packages/ai/src/providers/images/register-builtins.ts	packages/ai/src/providers/images/register-builtins.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/providers/mistral	crates/ai/src/providers/mistral.rs	packages/ai/src/providers/mistral.ts	packages/ai/src/providers/mistral.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/providers/mod	crates/ai/src/providers/mod.rs	-	dissolved:barrel-src/index.ts	port	7	done	no pi counterpart found (name+curated search) | audit-fix-1: a Rust mod.rs is a module declaration file with no TypeScript counterpart; the re-export lands in  packages/<pkg>/src/index.ts. Completion here does not mean producing a file, so out_path is recorded as dissolved:.
ai/providers/openai_codex_responses	crates/ai/src/providers/openai_codex_responses.rs	packages/ai/src/providers/openai-codex-responses.ts	packages/ai/src/providers/openai-codex-responses.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/providers/openai_completions	crates/ai/src/providers/openai_completions.rs	packages/ai/src/providers/openai-completions.ts	packages/ai/src/providers/openai-completions.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/providers/openai_prompt_cache	crates/ai/src/providers/openai_prompt_cache.rs	packages/ai/src/providers/openai-prompt-cache.ts	packages/ai/src/providers/openai-prompt-cache.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/providers/openai_responses	crates/ai/src/providers/openai_responses.rs	packages/ai/src/providers/openai-responses.ts	packages/ai/src/providers/openai-responses.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/providers/openai_responses_shared	crates/ai/src/providers/openai_responses_shared.rs	packages/ai/src/providers/openai-responses-shared.ts	packages/ai/src/providers/openai-responses-shared.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/providers/register_builtins	crates/ai/src/providers/register_builtins.rs	packages/ai/src/providers/register-builtins.ts	packages/ai/src/providers/register-builtins.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/providers/simple_options	crates/ai/src/providers/simple_options.rs	packages/ai/src/providers/simple-options.ts	packages/ai/src/providers/simple-options.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/providers/transform_messages	crates/ai/src/providers/transform_messages.rs	packages/ai/src/providers/transform-messages.ts	packages/ai/src/providers/transform-messages.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/session_resources	crates/ai/src/session_resources.rs	packages/ai/src/session-resources.ts	packages/ai/src/session-resources.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/sigv4	crates/ai/src/sigv4.rs	packages/ai/src/bedrock-provider.ts	dissolved:adopted-@aws-sdk/signature-v4	diff-port	7	done	pi gets SigV4 from AWS SDK; RULEBOOK §1 decides SDK-adopt vs hand-rolled port | audit 2026-08-05: out_path pointed at packages/ai/src/bedrock-provider.ts, which is a 6-line re-export shell and not where the capability lives. SigV4 signing comes from @aws-sdk, under the adopt criterion in RULEBOOK §1, so there is no corresponding TypeScript file.
ai/stream	crates/ai/src/stream.rs	packages/ai/src/stream.ts	packages/ai/src/stream.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/tests/anthropic_sse_e2e	crates/ai/tests/anthropic_sse_e2e.rs	-	packages/ai/test/ported/anthropic-sse-e2e.test.ts	char-tests	7	done	Rust integration tests -> vitest characterization tests
ai/tests/models_catalog	crates/ai/tests/models_catalog.rs	-	packages/ai/test/ported/models-catalog.test.ts	char-tests	7	done	Rust integration tests -> vitest characterization tests
ai/types	crates/ai/src/types.rs	packages/ai/src/types.ts	packages/ai/src/types.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/utils/abort	crates/ai/src/utils/abort.rs	-	packages/ai/src/utils/abort.ts	port	7	done | corrected 2026-08-05: `dissolved:native-AbortSignal` holds for send_or_abort, sleep_or_abort, next_or_abort, drain_bytes_or_abort and response_text_or_abort, but **not for push_aborted** — synthesising a termination message is application behavior, and an AbortSignal does not provide it. packages/ai/src/utils/abort.ts now carries abortedMessage and zeroUsage, called from all nine providers.	shared abort helpers; TS has native AbortSignal — likely thin port | audit-fix-1: upstream's send_or_abort, sleep_or_abort, next_or_abort, drain_bytes_or_abort, response_text_or_abort and push_aborted **dissolve into the language** on the TypeScript side, as the native AbortSignal, used in 18 places across the ai package. There is no corresponding file, and there should not be one.
ai/utils/aws_eventstream	crates/ai/src/utils/aws_eventstream.rs	-	dissolved:adopted-@aws-sdk/client-bedrock-runtime	port	7	done	header self-declares no 1:1 TS counterpart (TS side uses AWS SDK / eventsource-parser); RULEBOOK §1 decides adopt-vs-port | audit-fix-1: upstream's AwsEventStream and EventStreamMessage decoding happens inside @aws-sdk/client-bedrock-runtime@3.1048.0, which the adopt-versus-port criterion in RULEBOOK §1 resolves as adopt. No corresponding file.
ai/utils/diagnostics	crates/ai/src/utils/diagnostics.rs	packages/ai/src/utils/diagnostics.ts	packages/ai/src/utils/diagnostics.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/utils/event_stream	crates/ai/src/utils/event_stream.rs	packages/ai/src/utils/event-stream.ts	packages/ai/src/utils/event-stream.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase) | consolidated:packages/ai/src/utils/event-stream.ts — two upstream units deliberately land in the same TypeScript file, so completion must not be counted twice for it (audit 2026-08-05  noted in the audit).
ai/utils/hash	crates/ai/src/utils/hash.rs	packages/ai/src/utils/hash.ts	packages/ai/src/utils/hash.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/utils/headers	crates/ai/src/utils/headers.rs	packages/ai/src/utils/headers.ts	packages/ai/src/utils/headers.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/utils/json_parse	crates/ai/src/utils/json_parse.rs	packages/ai/src/utils/json-parse.ts	packages/ai/src/utils/json-parse.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/utils/mod	crates/ai/src/utils/mod.rs	-	dissolved:barrel-src/index.ts	port	7	done	no pi counterpart found (name+curated search) | audit-fix-1: a Rust mod.rs is a module declaration file with no TypeScript counterpart; the re-export lands in  packages/<pkg>/src/index.ts. Completion here does not mean producing a file, so out_path is recorded as dissolved:.
ai/utils/node_http_proxy	crates/ai/src/utils/node_http_proxy.rs	packages/ai/src/utils/node-http-proxy.ts	packages/ai/src/utils/node-http-proxy.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/utils/oauth/anthropic	crates/ai/src/utils/oauth/anthropic.rs	packages/ai/src/utils/oauth/anthropic.ts	packages/ai/src/utils/oauth/anthropic.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/utils/oauth/github_copilot	crates/ai/src/utils/oauth/github_copilot.rs	packages/ai/src/utils/oauth/github-copilot.ts	packages/ai/src/utils/oauth/github-copilot.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/utils/oauth/mod	crates/ai/src/utils/oauth/mod.rs	packages/ai/src/utils/oauth/index.ts	packages/ai/src/utils/oauth/index.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/utils/oauth/oauth_page	crates/ai/src/utils/oauth/oauth_page.rs	packages/ai/src/utils/oauth/oauth-page.ts	packages/ai/src/utils/oauth/oauth-page.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/utils/oauth/openai_codex	crates/ai/src/utils/oauth/openai_codex.rs	packages/ai/src/utils/oauth/openai-codex.ts	packages/ai/src/utils/oauth/openai-codex.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/utils/oauth/pkce	crates/ai/src/utils/oauth/pkce.rs	packages/ai/src/utils/oauth/pkce.ts	packages/ai/src/utils/oauth/pkce.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/utils/oauth/types	crates/ai/src/utils/oauth/types.rs	packages/ai/src/utils/oauth/types.ts	packages/ai/src/utils/oauth/types.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/utils/overflow	crates/ai/src/utils/overflow.rs	packages/ai/src/utils/overflow.ts	packages/ai/src/utils/overflow.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/utils/retry	crates/ai/src/utils/retry.rs	-	packages/ai/src/utils/retry.ts	port	7	done	no TS counterpart (SDKs retry for free); DIVERGENCE SITE: pie adds HTTP 409 to retry set (audit-confirmed DS4 adaptation)
ai/utils/sanitize_unicode	crates/ai/src/utils/sanitize_unicode.rs	packages/ai/src/utils/sanitize-unicode.ts	packages/ai/src/utils/sanitize-unicode.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/utils/sse	crates/ai/src/utils/sse.rs	-	dissolved:per-provider	port	7	done	header self-declares no 1:1 TS counterpart (TS side uses AWS SDK / eventsource-parser); RULEBOOK §1 decides adopt-vs-port | audit-fix-1: upstream's SseEvent and SseStream **land in several places** on the TypeScript side — anthropic.ts holds the shared helper, while openai-codex-responses, google-shared, amazon-bedrock and images-openrouter each handle it inline. The capability is complete but has no single home.
ai/utils/typebox_helpers	crates/ai/src/utils/typebox_helpers.rs	packages/ai/src/utils/typebox-helpers.ts	packages/ai/src/utils/typebox-helpers.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/utils/validation	crates/ai/src/utils/validation.rs	packages/ai/src/utils/validation.ts	packages/ai/src/utils/validation.ts	diff-port	7	done	auto name-match to pi counterpart (divergence set determined in-phase)
ai/vertex_adc	crates/ai/src/vertex_adc.rs	-	packages/ai/src/utils/vertex-adc.ts	port	7	done	pie-only ADC service-account JWT exchange (closes pie#14 gap; pi baseline resolves token from env only) | out_path corrected to utils/ (leaf-package util convention, retry.ts precedent) 2026-08-03
ai/vertex_provider	crates/ai/src/vertex_provider.rs	packages/ai/src/providers/google-vertex.ts	packages/ai/src/providers/google-vertex.ts	diff-port	7	done	CONFIRMED by dual review: pie split pi google-vertex.ts; same env-var resolution (GOOGLE_CLOUD_PROJECT/GCLOUD_PROJECT/GOOGLE_CLOUD_LOCATION) | consolidated:packages/ai/src/providers/google-vertex.ts — two upstream units deliberately land in the same TypeScript file, so completion must not be counted twice for it (audit 2026-08-05  noted in the audit).
agent/agent	crates/agent/src/agent.rs	packages/agent/src/agent.ts	packages/agent/src/agent.ts	diff-port	8	done	auto name-match to pi counterpart (divergence set determined in-phase)
agent/agent_loop	crates/agent/src/agent_loop.rs	packages/agent/src/agent-loop.ts	packages/agent/src/agent-loop.ts	diff-port	8	done	auto name-match to pi counterpart (divergence set determined in-phase)
agent/harness/agent_harness	crates/agent/src/harness/agent_harness.rs	packages/agent/src/harness/agent-harness.ts	packages/agent/src/harness/agent-harness.ts	diff-port	8	done	auto name-match to pi counterpart (divergence set determined in-phase)
agent/harness/compaction/branch_summarization	crates/agent/src/harness/compaction/branch_summarization.rs	packages/agent/src/harness/compaction/branch-summarization.ts	packages/agent/src/harness/compaction/branch-summarization.ts	diff-port	8	done	auto name-match to pi counterpart (divergence set determined in-phase)
agent/harness/compaction/compaction	crates/agent/src/harness/compaction/compaction.rs	packages/agent/src/harness/compaction/compaction.ts	packages/agent/src/harness/compaction/compaction.ts	diff-port	8	done	auto name-match to pi counterpart (divergence set determined in-phase)
agent/harness/compaction/mod	crates/agent/src/harness/compaction/mod.rs	-	dissolved:barrel-src/index.ts	port	8	done	no pi counterpart found (name+curated search) | audit-fix-1: a Rust mod.rs is a module declaration file with no TypeScript counterpart; the re-export lands in  packages/<pkg>/src/index.ts. Completion here does not mean producing a file, so out_path is recorded as dissolved:.
agent/harness/compaction/utils	crates/agent/src/harness/compaction/utils.rs	packages/agent/src/harness/compaction/utils.ts	packages/agent/src/harness/compaction/utils.ts	diff-port	8	done	auto name-match to pi counterpart (divergence set determined in-phase)
agent/harness/cost	crates/agent/src/harness/cost.rs	-	packages/agent/src/harness/cost.ts	port	8	done	pie-only harness capability (audit: TriggerRuntime/cost/permission/notification built into pie harness)
agent/harness/env/mod	crates/agent/src/harness/env/mod.rs	-	dissolved:barrel-src/index.ts	port	8	done	no pi counterpart found (name+curated search) | audit-fix-1: a Rust mod.rs is a module declaration file with no TypeScript counterpart; the re-export lands in  packages/<pkg>/src/index.ts. Completion here does not mean producing a file, so out_path is recorded as dissolved:.
agent/harness/env/native	crates/agent/src/harness/env/native.rs	packages/agent/src/harness/env/nodejs.ts	packages/agent/src/harness/env/nodejs.ts	diff-port	8	done	curated semantic map to pi counterpart
agent/harness/messages	crates/agent/src/harness/messages.rs	packages/agent/src/harness/messages.ts	packages/agent/src/harness/messages.ts	diff-port	8	done	auto name-match to pi counterpart (divergence set determined in-phase)
agent/harness/mod	crates/agent/src/harness/mod.rs	-	dissolved:barrel-src/index.ts	port	8	done	no pi counterpart found (name+curated search) | audit-fix-1: a Rust mod.rs is a module declaration file with no TypeScript counterpart; the re-export lands in  packages/<pkg>/src/index.ts. Completion here does not mean producing a file, so out_path is recorded as dissolved:.
agent/harness/notification_hook	crates/agent/src/harness/notification_hook.rs	-	packages/agent/src/harness/notification-hook.ts	port	8	done	pie-only harness capability (audit: TriggerRuntime/cost/permission/notification built into pie harness)
agent/harness/permission	crates/agent/src/harness/permission.rs	-	packages/agent/src/harness/permission.ts	port	8	done	pie-only harness capability (audit: TriggerRuntime/cost/permission/notification built into pie harness)
agent/harness/prompt_templates	crates/agent/src/harness/prompt_templates.rs	packages/agent/src/harness/prompt-templates.ts	packages/agent/src/harness/prompt-templates.ts	diff-port	8	done	auto name-match to pi counterpart (divergence set determined in-phase)
agent/harness/session/jsonl_repo	crates/agent/src/harness/session/jsonl_repo.rs	packages/agent/src/harness/session/jsonl-repo.ts	packages/agent/src/harness/session/jsonl-repo.ts	diff-port	8	done	auto name-match to pi counterpart (divergence set determined in-phase)
agent/harness/session/jsonl_storage	crates/agent/src/harness/session/jsonl_storage.rs	packages/agent/src/harness/session/jsonl-storage.ts	packages/agent/src/harness/session/jsonl-storage.ts	diff-port	8	done	auto name-match to pi counterpart (divergence set determined in-phase)
agent/harness/session/memory_repo	crates/agent/src/harness/session/memory_repo.rs	packages/agent/src/harness/session/memory-repo.ts	packages/agent/src/harness/session/memory-repo.ts	diff-port	8	done	auto name-match to pi counterpart (divergence set determined in-phase)
agent/harness/session/memory_storage	crates/agent/src/harness/session/memory_storage.rs	packages/agent/src/harness/session/memory-storage.ts	packages/agent/src/harness/session/memory-storage.ts	diff-port	8	done	auto name-match to pi counterpart (divergence set determined in-phase)
agent/harness/session/mod	crates/agent/src/harness/session/mod.rs	-	dissolved:barrel-src/index.ts	port	8	done	no pi counterpart found (name+curated search) | audit-fix-1: a Rust mod.rs is a module declaration file with no TypeScript counterpart; the re-export lands in  packages/<pkg>/src/index.ts. Completion here does not mean producing a file, so out_path is recorded as dissolved:.
agent/harness/session/repo_utils	crates/agent/src/harness/session/repo_utils.rs	packages/agent/src/harness/session/repo-utils.ts	packages/agent/src/harness/session/repo-utils.ts	diff-port	8	done	auto name-match to pi counterpart (divergence set determined in-phase)
agent/harness/session/session	crates/agent/src/harness/session/session.rs	packages/agent/src/harness/session/session.ts	packages/agent/src/harness/session/session.ts	diff-port	8	done	auto name-match to pi counterpart (divergence set determined in-phase)
agent/harness/session/uuid	crates/agent/src/harness/session/uuid.rs	packages/agent/src/harness/session/uuid.ts	packages/agent/src/harness/session/uuid.ts	diff-port	8	done	auto name-match to pi counterpart (divergence set determined in-phase)
agent/harness/skills	crates/agent/src/harness/skills.rs	packages/agent/src/harness/skills.ts	packages/agent/src/harness/skills.ts	diff-port	8	done	auto name-match to pi counterpart (divergence set determined in-phase)
agent/harness/system_prompt	crates/agent/src/harness/system_prompt.rs	packages/agent/src/harness/system-prompt.ts	packages/agent/src/harness/system-prompt.ts	diff-port	8	done	auto name-match to pi counterpart (divergence set determined in-phase)
agent/harness/trigger	crates/agent/src/harness/trigger.rs	-	packages/agent/src/harness/trigger.ts	port	8	done	pie-only harness capability (audit: TriggerRuntime/cost/permission/notification built into pie harness)
agent/harness/trigger_runtime	crates/agent/src/harness/trigger_runtime.rs	-	packages/agent/src/harness/trigger-runtime.ts	port	8	done	pie-only harness capability (audit: TriggerRuntime/cost/permission/notification built into pie harness)
agent/harness/types	crates/agent/src/harness/types.rs	packages/agent/src/harness/types.ts	packages/agent/src/harness/types.ts	diff-port	8	done	auto name-match to pi counterpart (divergence set determined in-phase)
agent/harness/utils/mod	crates/agent/src/harness/utils/mod.rs	-	dissolved:barrel-src/index.ts	port	8	done	no pi counterpart found (name+curated search) | audit-fix-1: a Rust mod.rs is a module declaration file with no TypeScript counterpart; the re-export lands in  packages/<pkg>/src/index.ts. Completion here does not mean producing a file, so out_path is recorded as dissolved:.
agent/harness/utils/shell_output	crates/agent/src/harness/utils/shell_output.rs	packages/agent/src/harness/utils/shell-output.ts	packages/agent/src/harness/utils/shell-output.ts	diff-port	8	done	auto name-match to pi counterpart (divergence set determined in-phase)
agent/harness/utils/truncate	crates/agent/src/harness/utils/truncate.rs	packages/agent/src/harness/utils/truncate.ts	packages/agent/src/harness/utils/truncate.ts	diff-port	8	done	auto name-match to pi counterpart (divergence set determined in-phase)
agent/lib	crates/agent/src/lib.rs	packages/agent/src/index.ts	packages/agent/src/index.ts	diff-port	8	done	auto name-match to pi counterpart (divergence set determined in-phase)
agent/node	crates/agent/src/node.rs	packages/agent/src/node.ts	packages/agent/src/node.ts	diff-port	8	done	auto name-match to pi counterpart (divergence set determined in-phase)
agent/proxy	crates/agent/src/proxy.rs	packages/agent/src/proxy.ts	packages/agent/src/proxy.ts	diff-port	8	done	auto name-match to pi counterpart (divergence set determined in-phase)
agent/tests/agent_loop	crates/agent/tests/agent_loop.rs	-	packages/agent/test/ported/agent-loop.test.ts	char-tests	8	done	Rust integration tests -> vitest characterization tests
agent/tests/harness_e2e	crates/agent/tests/harness_e2e.rs	-	packages/agent/test/ported/harness-e2e.test.ts	char-tests	8	done	Rust integration tests -> vitest characterization tests
agent/tests/permission_e2e	crates/agent/tests/permission_e2e.rs	-	packages/agent/test/ported/permission-e2e.test.ts	char-tests	8	done	Rust integration tests -> vitest characterization tests
agent/tests/session_storage	crates/agent/tests/session_storage.rs	-	packages/agent/test/ported/session-storage.test.ts	char-tests	8	done	Rust integration tests -> vitest characterization tests
agent/tests/skills_loader	crates/agent/tests/skills_loader.rs	-	packages/agent/test/ported/skills-loader.test.ts	char-tests	8	done	Rust integration tests -> vitest characterization tests
agent/tests/templates_loader	crates/agent/tests/templates_loader.rs	-	packages/agent/test/ported/templates-loader.test.ts	char-tests	8	done	Rust integration tests -> vitest characterization tests
agent/types	crates/agent/src/types.rs	packages/agent/src/types.ts	packages/agent/src/types.ts	diff-port	8	done	auto name-match to pi counterpart (divergence set determined in-phase)
coding-agent/tools/bash	crates/coding-agent/src/tools/bash.rs	packages/coding-agent/src/core/tools/bash.ts	packages/coding-agent/src/core/tools/bash.ts	diff-port	9	done	auto name-match to pi counterpart (divergence set determined in-phase)
coding-agent/tools/edit	crates/coding-agent/src/tools/edit.rs	packages/coding-agent/src/core/tools/edit.ts	packages/coding-agent/src/core/tools/edit.ts	diff-port	9	done	auto name-match to pi counterpart (divergence set determined in-phase)
coding-agent/tools/find	crates/coding-agent/src/tools/find.rs	packages/coding-agent/src/core/tools/find.ts	packages/coding-agent/src/core/tools/find.ts	diff-port	9	done	auto name-match to pi counterpart (divergence set determined in-phase)
coding-agent/tools/git	crates/coding-agent/src/tools/git.rs	-	packages/coding-agent/src/tools/git.ts	port	9	done	git tool — pie built-in tool surface
coding-agent/tools/grep	crates/coding-agent/src/tools/grep.rs	packages/coding-agent/src/core/tools/grep.ts	packages/coding-agent/src/core/tools/grep.ts	diff-port	9	done	auto name-match to pi counterpart (divergence set determined in-phase)
