id	site	divergence	rationale	revisit
ED11	empty input to packages/ai/src/utils/json-parse.ts	the TypeScript side returns {}, upstream's parse_partial_json returns Value::Null	BUG-scope: not observable by the judge (same family as ED5)	revisit in phase 17
ED12	packages/agent/src/harness/types.ts SessionErrorCode	the TypeScript side uses not_found, invalid_session, invalid_entry, invalid_fork_target, storage and unknown; upstream's types.rs uses NotFound, AlreadyExists, Corrupted, StorageFailure, Aborted and Unknown, which overlap only on NotFound and Unknown	BUG-scope: not observable by the judge — upstream's Display is #[error("{message}")], which prints the message field alone and never the variant name (the "Error: i…" captured by S8)	phase 12/17: the message text has to be verified as identical (S8 asserts the text, not the code)
ED13	packages/coding-agent/src/core/auth-storage.ts getApiKey/getAuthStatus	upstream's resolve_for_provider at auth.rs:129-143 prefers the env var and falls back to auth.json; here the stored value comes first and the env var is the fallback	BUG-scope: not observable by the judge, because the parity harness always clears provider env vars and backs up auth.json, so the premise "env and stored both present" never holds on the judged surface. The stronger counter-argument runs the other way: upstream's env-first ordering is harmless only because its OAuth is dead code (ProviderCredential::needs_refresh is marked #[allo…	phase 17 review: if coverage of env and stored being present together is added during the burndown, this row is downgraded to must-align
ED14	the on-disk format of packages/coding-agent/src/core/auth-storage.ts	upstream's AuthStore is {version:1, providers:{id:{kind:"api_key"|"oauth",...}}} — a tagged union with expires_at in seconds; the TypeScript side keeps the skeleton's flat Record<provider, {type,...}> with expires in milliseconds	BUG-scope: not observable by the judge, since no scenario reads or writes auth.json. The substantive reason for not adopting upstream's format: its Oauth variant cannot carry T…	phase 19 hardening **complete** (2026-08-04): auth-storage.ts gained a read-only compatibility import, importRustPieStore, which detects the shape rather than looking only at version (top-level keys ⊆ {version,providers}, providers a plain object, and every entry kind-tagged and fully mappable; when providers is empty a numeric version is also required, so a skeleton file whose provider id happens to be "providers" is not misread). The write side is unchanged and still emits only the skeleton's flat format; after the first /login the whole file becomes that format with every existing credential carried over. Mapping: expires_at seconds to milliseconds; with no expires_at, upstream's needs_refresh(None)=false means it is treated as never expiring, so the access_token is used directly and the refresh branch is not taken; fields unique to upstream — today only scopes — are stored verbatim in rustPieFields and preserved by set, remove and the OAuth refresh write-back rather than silently dropped; if any single entry cannot be mapped in full, nothing is imported, matching serde's all-or-nothing behavior upstream, and the existing behavior resumes without raising. Tests: "ED14: a Rust-pie (oracle-shape) auth.json survives the upgrade" in test/auth-storage.test.ts, 12 cases. This also corrects the wording of the divergence column above: before the fix it was not an overwrite — persistProviderChange's merge carried {version,providers} through as useless top-level keys, so credentials were not deleted, but the user appeared logged out and the file was never read again. Recorded in PROVENANCE.md. If ED16 is flipped so that OAuth is reproduced bug for bug, the oauth mapping here has to be reviewed with it
ED15	the collapsing of `invalid entry:` details in migration/parity/lib/normalize.mjs	on S8's resumeerr row, the parser details after the colon can never agree: upstream (serde_json) says "EOF while parsing a string at line 1 column 528" where TypeScript (V8 JSON.parse) says "Unterminated string in JSON at position 527"	the wording of a parser error is an artifact of the runtime rather than pie behavior; it cannot and should not be reproduced verbatim, since doing so would mean rewriting serde_json's error positioning.	phase 17: confirmed on the first successful dual run of S8 that this row does normalise to "Error: invalid entry: <PARSE-DETAIL>" and is not empty
ED16	OAuth auto-refresh in packages/coding-agent/src/core/auth-storage.ts	upstream's resolve_for_provider at auth.rs:139-143 returns the access_token directly on the Oauth branch and **never refreshes** (needs_refresh is marked #[allow(dead_code)], and its comment says the refresh "lands in a follow-up"); the TypeScript side goes through refreshOAuthTokenWithLock on expiry and writes auth.json back	the third behavioral difference in the same family as ED13 and ED14, reviewed in phase 12	phase 17 review; if phase 18 decides to reproduce OAuth bug for bug as well, this row must be flipped together with ED13 and ED14
ED17	the integer upper bound in smol-toml (a shared root cause for config.ts and mcp-loader.ts)	smol-toml rejects an integer literal larger than Number.MAX_SAFE_INTEGER at the lexical level; upstream's toml crate accepts up to i64::MAX, and more for u64 fields	the config.ts side is solved for **unknown sections** with smol-toml's documented `integersAsBigInt: "asNeeded"`, which preserves upstream's contract that "unknown sections and keys are ignored". A very large value in one of pie's **own** fields still has no answer—	phase 19: if it is judged necessary by then, the only thorough fix is to carry these fields as bigint end to end; otherwise keep it and list it under intentional divergences in the README
ED18	the collision diagnostic at packages/coding-agent/src/core/skills.ts:401	when a project-level skill overrides a user-level one of the same name, the TypeScript side emits a `type:"collision"` diagnostic; upstream's diagnostic vocabulary **has no such concept** (skills.rs:14-16,41 overrides silently)	an addition specific to the skeleton, not upstream behavior. The **direction** of the override was aligned with upstream in phase 9 (project wins); what remains here is one informational diagnostic. The phase 13 cli_skills characterization test is therefore built on `@pie/a…	phase 17: if S2 or S8 captures this diagnostic line it has to be removed; otherwise keep it and list it under intentional divergences in the README
ED19	the default systemPrompt on AgentHarness does not assemble a skills block	with `systemPrompt` omitted, the TypeScript side defaults to `"You are a helpful assistant."` and does **not** assemble a `<skills>` block (agent-harness.ts:1078-1084); upstream defaults to `String::new()` and `build_system_prompt` always assembles one	found by the phase 13 dynamic_trigger characterization test. **The product path is unaffected**: the CLI goes through core/agent-session.ts rather than Ag…	phase 17/18: must be aligned if the harness ever enters the product path
ED20	WebFeedBlock.timestamp in packages/coding-agent/src/ui/feed.ts	the TypeScript side uses `timestamp?: string`, and JSON.stringify **omits the key** when the value is undefined; upstream's `Option<String>` has no `skip_serializing_if`, so serde emits `"timestamp": null`	found while cross-checking the phase 15 web unit. Functionally equivalent — the JS inside the embedded web_index.html treats both shapes the same (`x?.timestamp` and `x.ti…	phase 17: if a parity scenario covering the SSE payload is added, this has to be unified on null; otherwise record it under intentional divergences in the README
ED21	the Frame rendering surface in packages/coding-agent/src/ui/app-render.ts	upstream draws to a cell buffer through ratatui; this port's `App.render()` returns a `Frame` — the same lines ratatui would have received, expressed as FeedLine[] — and `frameText()` corresponds to upstream's `buffer_text()`	RULEBOOK §1 allows no new dependency, and there is no allowlisted counterpart to ratatui. **Every user-visible string** upstream asserts is asserted here verbatim; **what is not asserted is cell-level placement** — where upstream does assert placement (such as "the status…	phase 16 smoke: drawing to a real terminal needs a TerminalDriver (ui/index.ts already carries a TODO(port)); phase 19 decides whether cell-level verification is needed
ED22	packages/coding-agent/src/core/session-manager.ts parseSessionHeader	the write side is fully aligned with upstream's JsonlSessionMetadata; the read side **additionally** accepts the skeleton's old header `{type:"session",version?,...}`, which upstream's serde would refuse with "parse session metadata" for the missing createdAt and path	not observable by the judge, since no scenario feeds a skeleton-format transcript. Two substantive reasons for keeping the read side permissive: (a) the same upgrade path as ED14 — transcripts written by early TypeScript builds of pie sit in the **shared** ~/.pie/sessions/, and narrowing the read side would strand them…	phase 19: if support for skeleton-format history is dropped, remove the first branch of parseSessionHeader and handle the v1/v2 migration with it; otherwise record it under intentional divergences in the README
ED23	packages/coding-agent/src/core/session-manager.ts _persist	the TypeScript side defers writing the header and every entry until the first assistant message (the hasAssistant gate); upstream's JsonlSessionStorage::create (jsonl_storage.rs:56-60) fs::writes the header the moment the session is created. A run that starts and exits before any reply arrives leaves upstream with a header-only transcript that appears in --list-sessions, and leaves nothing here	**Note that this is now partly covered by the S7 fix**: the S7 unit found that upstream writes the transcript as soon as the REPL starts, so newSe…	phase 19: if a scenario is added for starting, exiting before any reply, and then running --list-sessions, this has to be aligned fully; otherwise record it in the README
ED24	the SDK-only input shapes of packages/coding-agent/src/core/tools/edit.ts and grep.ts	the schema the model sees is fully aligned with upstream (edit takes old_string, new_string and replace_all; grep does not expose literal or context), but the skeleton's batch engine (edits[], fuzzy matching, overlap detection, BOM and CRLF normalisation, unified diff) and grep's literal and context can still be reached through EditExecuteInput and GrepExecuteInput by an in-process…	**The direction is more permissive, not stricter**, and it is not observable by the judge — the model can only produce arguments according to the schema, and the schema is already upstream's. The reason for not removing it (RULEBOOK rule 7, for the orchestrator to decide): removing it would take about 14 tests **that exist to test this very feature** with it, in direct conflict with the ban on deleting tests to go green; and the batch engine is an existing, working feature of the skeleton, recorded in PROVENANCE as a skeleton addition	phase 19: if SDK-side batch editing is dropped, remove the widening of EditExecuteInput and GrepExecuteInput and handle those tests with it; otherwise record it under intentional divergences in the README
ED25	clampOpenAIPromptCacheKey at packages/ai/src/providers/openai-responses.ts:289	the TypeScript side truncates prompt_cache_key to 64 characters; upstream truncates nowhere — crates/ai/src/providers/openai_prompt_cache.rs is a `pub fn placeholder() {}` stub with no callers, and openai_responses.rs:591 writes the raw session id	**The CLI path is no longer reachable**: phase 17 removed the `new…	phase 19: if the SDK surface is also required to be faithful to upstream, remove the truncation and change that test; otherwise record it in the README
