fn_name	evidence_kind	evidence	anchor
agent/src/harness/session/session.rs::append_label@524	existing-test	packages/agent/test/harness/session.test.ts:104	await expect(session.appendLabel("missing", "checkpoint")).rejects.toThrow("Entry missing not found");
agent/src/harness/session/session.rs::append_message@440	existing-test	packages/agent/test/harness/session.test.ts:22	expect(context.messages.map((message) => message.role)).toEq
agent/src/harness/session/session.rs::append_model_change@467	existing-test	packages/agent/test/harness/session.test.ts:32	expect(context.model).toEqual({ provider: "openai", modelId:
agent/src/harness/session/session.rs::append_session_name@545	existing-test	packages/agent/test/harness/session.test.ts:96	expect(entries.some((entry) => entry.type === "session_info"
agent/src/harness/session/session.rs::append_thinking_level_change@452	existing-test	packages/agent/test/harness/session.test.ts:31	expect(context.thinkingLevel).toBe("high");
agent/src/harness/session/session.rs::branch@398	existing-test	packages/agent/test/ported/harness-e2e.test.ts:617	expect(triggerPresent, "session.getBranch must still enumera
agent/src/harness/session/session.rs::build_context@409	existing-test	packages/agent/test/harness/session.test.ts:22	expect(context.messages.map((message) => message.role)).toEq
agent/src/harness/session/session.rs::entries@394	existing-test	packages/agent/test/harness/session.test.ts:95	expect(entries.some((entry) => entry.type === "label")).toBe
agent/src/harness/session/session.rs::get_entry@245	existing-test	packages/agent/test/harness/session.test.ts:76	expect(summaryEntry).toMatchObject({ type: "branch_summary",
agent/src/harness/session/session.rs::label@414	existing-test	packages/agent/test/harness/storage.test.ts:117	expect(await storage.getLabel("entry-1")).toBe("checkpoint")
agent/src/harness/session/session.rs::leaf_id@386	new-test	packages/agent/test/ported/calibration-batch.test.ts:39	expect(await session.getLeafId()).toBe(firstId);
agent/src/harness/session/session.rs::move_to@561	existing-test	packages/agent/test/harness/session.test.ts:43	expect(branch.map((entry) => entry.id)).toContain(user1);
agent/src/harness/session/session.rs::session_name@418	existing-test	packages/agent/test/harness/session.test.ts:98	expect(await session.getSessionName()).toBe("name");
agent/src/harness/session/uuid.rs::uuidv7@6	existing-test	packages/agent/test/harness/session-uuid.test.ts:34	expect(first).toBe("01234567-89ab-7fff-bfff-f91122334455");
agent/src/harness/skills.rs::format_skill_invocation@23	existing-test	packages/agent/test/harness/resource-formatting.test.ts:14	
agent/src/harness/system_prompt.rs::format_skills_for_system_prompt@18	existing-test	packages/agent/test/harness/system-prompt.test.ts:30	
agent/src/harness/trigger_runtime.rs::config@176	existing-test	packages/agent/test/harness/trigger-runtime.test.ts:98	expect(runtime.config.dedupWindowMs).toBe(MAX_DEDUP_WINDOW_MS);
agent/src/harness/trigger_runtime.rs::evaluate@191	existing-test	packages/agent/test/harness/trigger-runtime.test.ts:43	expect(outcome).toEqual({ type: "accept" });
agent/src/harness/trigger_runtime.rs::new@139	existing-test	packages/agent/test/harness/trigger-runtime.test.ts:44	expect(runtime.dedupEntryCount()).toBe(1);
agent/src/harness/trigger_runtime.rs::record_follow_up_hop@252	existing-test	packages/agent/test/harness/trigger-runtime.test.ts:93	expect(suppressed).toEqual({ type: "cycleSuppressed", hopCou
agent/src/harness/trigger_runtime.rs::snapshot@164	existing-test	packages/agent/test/harness/trigger-runtime.test.ts:145	expect(snap.acceptedTotal).toBe(3);
agent/src/harness/trigger_runtime.rs::with_config@145	not-portable	No implementation of that name here: `withConfig` has no hits under packages/*/src. TriggerRuntime takes its configuration through the constructor (`new TriggerRuntime(config)`), with no builder-style with_config.	
agent/src/harness/trigger.rs::is_terminal@210	existing-test	packages/agent/test/harness/trigger.test.ts:110	expect(isTriggerStateTerminal("received")).toBe(false);
agent/src/harness/trigger.rs::received_from@269	existing-test	packages/agent/test/harness/trigger.test.ts:132	expect(record.state).toBe("received");
agent/src/harness/types.rs::label@256	existing-test	packages/coding-agent/test/ported/trigger-wiring.test.ts:227	expect(subsystem.hooks.map((hook) => hook.label())).toEqual(
agent/src/harness/types.rs::new@52	new-test	packages/agent/test/ported/batch-c.test.ts:117	expect([err.code, err.message, err.path, err.name]).toEqual(
agent/src/harness/types.rs::new@83	new-test	packages/agent/test/ported/batch-c.test.ts:128	expect([err.code, err.message, err.name]).toEqual(["timeout"
agent/src/types.rs::as_audit_str@472	not-portable	No implementation of that name here: asAuditStr has no hits. Audit strings are assembled at the call site, never factored into a method on the type.	
agent/src/types.rs::as_str@71	not-portable	No implementation of that name here: asStr has no hits. Upstream uses it to turn an enum into its wire string; the corresponding type here is a literal union such as GoalStatus, where the string is the value itself and no conversion function is needed.	
agent/src/types.rs::default_convert_to_llm@650	not-portable	No export of that name here: defaultConvertToLlm has no hits in types.ts. The default for converting messages into LLM format is inlined in Agent's prompt path and overridden by AgentOptions.convertToLlm, with no named, testable entry point.	
agent/src/types.rs::default_stream_fn@544	not-portable	Structural difference: upstream has a named factory, `default_stream_fn() -> Arc::new(pie_ai::stream_simple)`. Here packages/agent/src/agent.ts:225 applies the same default inline as `options.streamFn ?? streamSimple`, where streamSimple comes from @pie/ai, so there is no corresponding named factory to test.	
ai/src/api_registry.rs::clear_api_providers@91	existing-test	packages/ai/test/ported/oracle-inline-core.test.ts:132	expect(getApiProvider(RACE_API as never)).toBeUndefined();
ai/src/api_registry.rs::get_api_provider@77	existing-test	packages/ai/test/ported/oracle-inline-core.test.ts:113	expect(handle).toBeDefined();
ai/src/api_registry.rs::register_api_provider@60	existing-test	packages/ai/test/ported/oracle-inline-core.test.ts:113	expect(handle).toBeDefined();
ai/src/api_registry.rs::stream@25	existing-test	packages/ai/test/api-registry-error-streams.test.ts:75	expect(() => handle!.stream(testModel("other-api"), { messag
ai/src/api_registry.rs::stream_simple@34	existing-test	packages/ai/test/ported/oracle-inline-core.test.ts:138	expect(doneModel).toBe("simple");
ai/src/api_registry.rs::unregister_api_providers@85	existing-test	packages/ai/test/ported/oracle-inline-core.test.ts:116	expect(getApiProvider(RACE_API as never)).toBeUndefined();
ai/src/bedrock_anthropic.rs::new@35	not-portable	No constructor of that name here: the Anthropic adaptation for Bedrock is carried by baseUrl routing in anthropic.ts, with no separate bedrock_anthropic client class.	
ai/src/bedrock_provider.rs::from_env@27	existing-test	packages/ai/test/bedrock-endpoint-resolution.test.ts:105	
ai/src/bedrock_provider.rs::invoke@44	existing-test	packages/ai/test/bedrock-usage-and-stop-reason.test.ts:106	
ai/src/env_api_keys.rs::env_var_names@45	existing-test	packages/ai/test/env-api-keys.test.ts:60	expect(envVarNames("ds4")).toEqual(["DS4_API_KEY"]);
ai/src/env_api_keys.rs::get_env_api_key@30	existing-test	packages/ai/test/env-api-keys.test.ts:35	
ai/src/event_stream.rs::content_type@56	not-portable	A real capability gap: the AWS `application/vnd.amazon.eventstream` binary frame path was not ported at all. packages/ai/src/event-stream.ts **does not exist** (the similarly named utils/event-stream.ts corresponds to a different upstream file, utils/event_stream.rs, and is a general EventStream abstraction unrelated to binary frames). A repo-wide grep for `vnd.amazon.eventstream` and `crc32` finds nothing, and bedrock-provider.ts is a 6-line placeholder.	
ai/src/event_stream.rs::crc32@213	not-portable	A real capability gap: as above — crc32 frame validation belongs to the AWS eventstream binary parser. Grepping `crc32` under packages/ai/src finds nothing, packages/ai/src/event-stream.ts does not exist, and bedrock-provider.ts is a 6-line placeholder module.	
ai/src/event_stream.rs::event_type@53	not-portable	A real capability gap: as above — reading the `:event-type` header belongs to AWS binary frame parsing. packages/ai/src/event-stream.ts does not exist, and bedrock-provider.ts is 6 lines that export a bedrockProviderModule placeholder.	
ai/src/images_api_registry.rs::generate@13	not-portable	Named differently here: upstream's generate is ImagesApiProvider.generateImages, wrapped by wrapGenerateImages at registration (images-api-registry.ts:44).	
ai/src/images_api_registry.rs::get_images_api_provider@35	new-test	packages/ai/test/ported/batch-d.test.ts:35	expect(getImagesApiProvider("never-registered-api" as never)
ai/src/images_api_registry.rs::register_images_api_provider@27	new-test	packages/ai/test/ported/batch-d.test.ts:31	expect(getImagesApiProvider(api)?.api).toBe(api);
ai/src/images.rs::images@6	existing-test	packages/coding-agent/test/block-images.test.ts:66	expect(result.content.length).toBeGreaterThanOrEqual(1);
ai/src/providers/cloudflare.rs::resolve_cloudflare_base_url@30	existing-test	packages/ai/test/cloudflare-base-url-placeholder.test.ts:40	expect(resolveCloudflareBaseUrl(modelWithBase("https://examp
ai/src/providers/faux.rs::faux_assistant_message@71	existing-test	packages/ai/test/faux-provider.test.ts:42	expect(response.content).toEqual([{ type: "text", text: "hel
ai/src/providers/faux.rs::faux_text@47	existing-test	packages/ai/test/faux-provider.test.ts:62	expect(response.content).toEqual([
ai/src/providers/faux.rs::faux_tool_call@59	existing-test	packages/ai/test/faux-provider.test.ts:62	expect(response.content).toEqual([
ai/src/providers/images/openrouter.rs::generate@9	existing-test	packages/ai/test/openrouter-images.test.ts:87	expect(output.output[1]).toMatchObject({ type: "image", mimeType
ai/src/providers/transform_messages.rs::transform_messages@73	existing-test	packages/ai/test/transform-messages-oracle-parity.test.ts:61	expect(out).toHaveLength(1);
ai/src/session_resources.rs::cleanup_session_resources@6	new-test	packages/ai/test/ported/session-resources-batch-h.test.ts:96	expect(seen, "callbacks after the throwing one still have to run").toEqual(
ai/src/sigv4.rs::sign@41	dissolved-dependency	manifest: dissolved:adopted-@aws-sdk/signature-v4	
ai/src/types.rs::as_str@48	not-portable	No implementation of that name here: asStr has no hits, the same shape as agent/src/types.rs::as_str. The corresponding type here is a literal union, where the string is the value itself.	
ai/src/types.rs::is_terminal@539	not-portable	No implementation of that name here: isTerminal has no hits, the same shape as agent/src/harness/trigger.rs::is_terminal. Terminal states are decided by callers comparing the stopReason literal directly.	
ai/src/types.rs::known@23	not-portable	Structural difference: upstream enumerates known apis and providers through a `known()` predicate. Here packages/ai/src/types.ts expresses the same sets as the literal unions KnownApi, KnownProvider and KnownImagesApi — the type system rejects anything that is not a known value at compile time, so there is no runtime predicate to call.	
ai/src/types.rs::text@269	not-portable	Structural difference: upstream has a ContentBlock::text constructor. Here the object is built literally as `{ type: "text", text }` — TextContent in packages/ai/src/types.ts is an interface, not a constructor, and wrapping a string into a text block needs no named function in TypeScript. The other constructor of the same name is at text@288.	
ai/src/types.rs::text@288	not-portable	Structural difference: upstream has two text constructors in types.rs (@269 and @288, in impl blocks for different types — the roster keys carry upstream line numbers precisely to tell them apart). Both are built as object literals here, since TextContent and TextSignatureV1 in packages/ai/src/types.ts are interfaces rather than constructors.	
ai/src/utils/abort.rs::push_aborted@116	not-portable	No implementation of that name here: pushAborted has no hits. The empty assistant entry written on abort goes through the path declared as D13 (see intentional-divergences.md), with no separate push_aborted helper.	
ai/src/utils/abort.rs::sleep_or_abort@44	not-portable	Named differently here: sleepOrAbort is implemented under packages/ai/src but exports no testable entry point; the abort response during retry backoff is covered by retry.ts's behavior as a whole, where sendWithRetry already has evidence.	
ai/src/utils/aws_eventstream.rs::new@33	not-portable	A real capability gap: the constructor of the AWS eventstream parser. The probe finds no corresponding file under packages/ at all; Bedrock support here amounts to the 6-line placeholder module packages/ai/src/bedrock-provider.ts.	
ai/src/utils/event_stream.rs::close@54	new-test	packages/ai/test/ported/batch-d.test.ts:129	await expect(stream.result()).resolves.toBe("closed-explicit
ai/src/utils/event_stream.rs::create_assistant_message_event_stream@105	existing-test	packages/ai/test/event-stream.test.ts:160	expect(await stream.result()).toBe(msg);
ai/src/utils/event_stream.rs::is_closed@49	new-test	packages/ai/test/ported/batch-d.test.ts:117	expect(seen).toEqual([1, 2]);
ai/src/utils/event_stream.rs::new@71	new-test	packages/ai/test/ported/batch-d.test.ts:103	expect(await stream.result()).toBe("empty");
ai/src/utils/event_stream.rs::push@32	existing-test	packages/ai/test/event-stream.test.ts:61	expect(events).toHaveLength(2);
ai/src/utils/event_stream.rs::result@87	existing-test	packages/ai/test/event-stream.test.ts:74	expect(finalMsg).toBeDefined();
ai/src/utils/hash.rs::short_hash@11	existing-test	packages/ai/test/hash.test.ts:11	expect(shortHash("hello")).toBe(shortHash("hello"));
ai/src/utils/headers.rs::merge_headers@10	not-portable	Not exported here: mergeHeaders is a module-private function at providers/anthropic.ts:227 and is not on the public surface. Its behavior is covered indirectly by the anthropic user-agent and header tests, but nothing points at it directly.	
ai/src/utils/node_http_proxy.rs::build_client@19	not-portable	No implementation of that name here: buildClient has no hits. The proxy client is constructed directly from undici's ProxyAgent (node-http-proxy.ts), without upstream's build_client wrapper.	
ai/src/utils/oauth/anthropic.rs::build_authorize_url@34	not-portable	No export of that name here: buildAuthorizeUrl has no hits. The authorize URL is assembled inline inside the oauth flow, and its byte-for-byte agreement with upstream is held by the assertions in packages/ai/test/anthropic-oauth.test.ts as a whole — that test's title says exactly that.	
ai/src/utils/oauth/anthropic.rs::exchange_authorization_code@75	existing-test	packages/ai/test/anthropic-oauth.test.ts:72	
ai/src/utils/oauth/anthropic.rs::login@143	existing-test	packages/ai/test/anthropic-oauth.test.ts:155	
ai/src/utils/oauth/anthropic.rs::refresh@107	existing-test	packages/ai/test/anthropic-oauth.test.ts:265	
ai/src/utils/oauth/github_copilot.rs::login@6	existing-test	packages/ai/test/github-copilot-oauth.test.ts:53	
ai/src/utils/oauth/github_copilot.rs::refresh@10	existing-test	packages/ai/test/github-copilot-oauth.test.ts:48	
ai/src/utils/oauth/openai_codex.rs::login@6	oracle-stub	Upstream openai_codex.rs:6-8 returns Err("openai-codex OAuth not yet implemented"); there is no upstream behavior to compare against.	
ai/src/utils/oauth/openai_codex.rs::refresh@10	existing-test	packages/ai/test/openai-codex-oauth.test.ts:27	
ai/src/utils/overflow.rs::is_context_overflow@69	existing-test	packages/ai/test/context-overflow.test.ts:105	expect(isContextOverflow(result.response, model.contextWindo
ai/src/utils/retry.rs::send_with_retry@42	existing-test	packages/ai/test/retry.test.ts:135	expect(response.status).toBe(200);
ai/src/utils/sse.rs::new@29	not-portable	Named differently here: the SSE parser is the class at mcp/src/http.ts:200, constructed through capBytes. It lives outside the ai package and has no entry point corresponding one-to-one with upstream's sse.rs::new.	
ai/src/utils/validation.rs::validate@22	new-test	packages/ai/test/ported/batch-d.test.ts:77	expect(() => validateToolCall([tool], { id: "1", name: "nope
ai/src/vertex_adc.rs::build_jwt@96	existing-test	packages/ai/test/vertex-adc.test.ts:145	expect(header).toEqual({ alg: "RS256", typ: "JWT" });
ai/src/vertex_adc.rs::fetch_access_token@117	existing-test	packages/ai/test/vertex-adc.test.ts:235	
ai/src/vertex_adc.rs::load_service_account@81	existing-test	packages/ai/test/vertex-adc.test.ts:82	
ai/src/vertex_provider.rs::from_env@31	existing-test	packages/ai/test/google-vertex-token-resolution.test.ts:210	
ai/src/vertex_provider.rs::invoke@57	existing-test	packages/ai/test/google-vertex-oracle-parity.test.ts:80	
coding-agent/src/agent_session.rs::harness@74	existing-test	packages/coding-agent/test/ui/kernel.test.ts:146	expect(kernelWith(stub).harness()).toBe(stub.asHarness);
coding-agent/src/agent_session.rs::is_retryable_error@57	existing-test	packages/coding-agent/test/ported/session-archive-batch-d.test.ts:196	expect(isRetryableErrorMessage(retryable), `${retryable} should be retryable`).toBe(true);
coding-agent/src/agent_session.rs::new@69	existing-test	packages/coding-agent/test/agent-session-concurrent.test.ts:140	expect(session.isStreaming).toBe(true);
coding-agent/src/agent_session.rs::prompt@87	existing-test	packages/coding-agent/test/agent-session-branching.test.ts:98	expect(userMessages[0].text).toBe("Say hello");
coding-agent/src/agent_session.rs::subscribe@80	existing-test	packages/coding-agent/test/agent-session-retry.test.ts:143	expect(events).toEqual(["start:1", "end:success=true"]);
coding-agent/src/bug_report.rs::build@41	existing-test	packages/coding-agent/test/bug-report.test.ts:60	
coding-agent/src/bug_report.rs::default_dest@24	existing-test	packages/coding-agent/test/bug-report.test.ts:104	expect(defaultDest(NOW)).toBe(join(dir, "bug-reports", "20260804T025906Z.txt"));
coding-agent/src/bug_report.rs::redact@115	existing-test	packages/coding-agent/test/bug-report.test.ts:60	expect(r).not.toContain("sk-abcdefghij");
coding-agent/src/builtin_skills.rs::available_builtin_names@50	existing-test	packages/coding-agent/test/builtin-skills.test.ts:19	expect(names).toEqual(sorted);
coding-agent/src/builtin_skills.rs::merge_with_user_project@196	existing-test	packages/coding-agent/test/builtin-skills.test.ts:118	expect(merged).toHaveLength(1);
coding-agent/src/builtin_skills.rs::parse_builtin_skills_config@215	existing-test	packages/coding-agent/test/builtin-skills.test.ts:153	expect(parseBuiltinSkillsConfig(text)).toEqual(["karpathy-gu
coding-agent/src/builtin_skills.rs::resolve_builtins@74	existing-test	packages/coding-agent/test/builtin-skill-wiring.test.ts:97	expect(names(loader)[0]).toBe("karpathy-guidelines");
coding-agent/src/clipboard_image.rs::read_clipboard@26	existing-test	packages/coding-agent/test/clipboard-paste.test.ts:136	expect(paste.kind).toBe("image");
coding-agent/src/commands.rs::set_sink@33	not-portable	No implementation of that name here: setSink has no hits. The sink for command output is injected through the closure in emitCommandLine (slash-dispatch.ts); there is no global sink to set.	
coding-agent/src/config.rs::base_dir@10	new-test	packages/coding-agent/test/ported/calibration-batch.test.ts:184	expect(getAgentDir()).toBe(dir);
coding-agent/src/config.rs::cwd_hash@33	not-portable	Present here, but with no test surface: cwdHash is implemented and no assertion anywhere covers it, and its observable consequence — which subdirectory a session lands in — is already held by the assertions in session-dir-purity.test.ts. A unit test could only assert that the same cwd yields the same string, which restates the implementation.	
coding-agent/src/config.rs::memory_dir@27	existing-test	packages/coding-agent/test/config-paths.test.ts:21	expect(getMemoryDir()).toBe(join(getAgentDir(), "memory"));
coding-agent/src/config.rs::parse_relay_base_url@64	existing-test	packages/coding-agent/test/config-paths.test.ts:85	expect(parseRelayBaseUrl("")).toBe(DEFAULT_RELAY_BASE_URL);
coding-agent/src/config.rs::parse_trigger_poll_interval_secs@44	existing-test	packages/coding-agent/test/config-paths.test.ts:58	expect(parseTriggerPollIntervalSecs(text)).toBe(15);
coding-agent/src/config.rs::relay_base_url@79	existing-test	packages/coding-agent/test/config-paths.test.ts:196	await expect(relayBaseUrl()).resolves.toBe(DEFAULT_RELAY_BAS
coding-agent/src/config.rs::sessions_dir_for_cwd@21	not-portable	No export of that name here: sessionsDirForCwd has no hits. The session directory is assembled inline from getSessionsDir() plus a cwd hash subdirectory (session-manager.ts), without upstream's standalone function.	
coding-agent/src/export.rs::default_export_path@99	existing-test	packages/coding-agent/test/export.test.ts:169	expect(path).toBe(join(tempAgentDir, "exports", "session-abc
coding-agent/src/export.rs::render@14	existing-test	packages/coding-agent/test/ported/export-e2e.test.ts:106	
coding-agent/src/export.rs::render_context@19	existing-test	packages/coding-agent/test/ported/export-e2e.test.ts:107	
coding-agent/src/export.rs::save@103	existing-test	packages/coding-agent/test/ported/export-e2e.test.ts:94	
coding-agent/src/extensions.rs::init_all@71	existing-test	packages/coding-agent/test/extensions-registry.test.ts:83	expect(r.initAll(ctx()).banners).toEqual(["hello: ready"]);
coding-agent/src/extensions.rs::iter@65	existing-test	packages/coding-agent/test/extensions-registry.test.ts:145	expect([...r.iter()].map((e) => e.name())).toEqual(["hello",
